 55 1485 
 1 2 11 
1 3 17 
1 4 4 
1 5 10 
1 6 29 
1 7 4 
1 8 18 
1 9 18 
1 10 22 
1 11 14 
1 12 5 
1 13 5 
1 14 1 
1 15 27 
1 16 1 
1 17 11 
1 18 25 
1 19 2 
1 20 27 
1 21 6 
1 22 21 
1 23 24 
1 24 2 
1 25 3 
1 26 22 
1 27 22 
1 28 21 
1 29 26 
1 30 8 
1 31 5 
1 32 17 
1 33 6 
1 34 11 
1 35 18 
1 36 9 
1 37 22 
1 38 17 
1 39 19 
1 40 25 
1 41 24 
1 42 23 
1 43 21 
1 44 2 
1 45 3 
1 46 3 
1 47 14 
1 48 21 
1 49 1 
1 50 23 
1 51 28 
1 52 17 
1 53 14 
1 54 22 
1 55 27 
2 3 27 
2 4 19 
2 5 23 
2 6 21 
2 7 19 
2 8 28 
2 9 16 
2 10 5 
2 11 20 
2 12 12 
2 13 18 
2 14 16 
2 15 10 
2 16 2 
2 17 4 
2 18 28 
2 19 26 
2 20 15 
2 21 20 
2 22 9 
2 23 10 
2 24 20 
2 25 6 
2 26 21 
2 27 3 
2 28 8 
2 29 9 
2 30 23 
2 31 24 
2 32 4 
2 33 6 
2 34 20 
2 35 16 
2 36 26 
2 37 11 
2 38 28 
2 39 24 
2 40 9 
2 41 26 
2 42 13 
2 43 17 
2 44 28 
2 45 8 
2 46 12 
2 47 9 
2 48 11 
2 49 3 
2 50 5 
2 51 19 
2 52 18 
2 53 24 
2 54 0 
2 55 27 
3 4 26 
3 5 23 
3 6 6 
3 7 11 
3 8 5 
3 9 14 
3 10 22 
3 11 0 
3 12 9 
3 13 17 
3 14 3 
3 15 27 
3 16 12 
3 17 16 
3 18 0 
3 19 11 
3 20 6 
3 21 5 
3 22 17 
3 23 15 
3 24 4 
3 25 11 
3 26 22 
3 27 20 
3 28 10 
3 29 21 
3 30 4 
3 31 16 
3 32 10 
3 33 27 
3 34 11 
3 35 7 
3 36 27 
3 37 7 
3 38 17 
3 39 3 
3 40 3 
3 41 5 
3 42 29 
3 43 19 
3 44 8 
3 45 11 
3 46 18 
3 47 2 
3 48 16 
3 49 26 
3 50 10 
3 51 3 
3 52 8 
3 53 0 
3 54 11 
3 55 12 
4 5 5 
4 6 10 
4 7 29 
4 8 24 
4 9 17 
4 10 8 
4 11 3 
4 12 25 
4 13 21 
4 14 2 
4 15 20 
4 16 1 
4 17 26 
4 18 14 
4 19 10 
4 20 6 
4 21 21 
4 22 18 
4 23 9 
4 24 18 
4 25 4 
4 26 1 
4 27 24 
4 28 23 
4 29 19 
4 30 18 
4 31 8 
4 32 0 
4 33 8 
4 34 7 
4 35 17 
4 36 8 
4 37 13 
4 38 18 
4 39 13 
4 40 17 
4 41 21 
4 42 0 
4 43 17 
4 44 13 
4 45 4 
4 46 29 
4 47 26 
4 48 5 
4 49 21 
4 50 20 
4 51 29 
4 52 19 
4 53 26 
4 54 28 
4 55 3 
5 6 14 
5 7 28 
5 8 24 
5 9 29 
5 10 19 
5 11 2 
5 12 15 
5 13 25 
5 14 3 
5 15 3 
5 16 13 
5 17 27 
5 18 4 
5 19 23 
5 20 8 
5 21 0 
5 22 18 
5 23 18 
5 24 0 
5 25 26 
5 26 8 
5 27 11 
5 28 29 
5 29 8 
5 30 19 
5 31 7 
5 32 12 
5 33 12 
5 34 28 
5 35 22 
5 36 8 
5 37 29 
5 38 10 
5 39 17 
5 40 8 
5 41 11 
5 42 15 
5 43 28 
5 44 16 
5 45 21 
5 46 2 
5 47 24 
5 48 2 
5 49 15 
5 50 18 
5 51 26 
5 52 22 
5 53 26 
5 54 5 
5 55 23 
6 7 19 
6 8 12 
6 9 24 
6 10 6 
6 11 11 
6 12 18 
6 13 2 
6 14 21 
6 15 1 
6 16 29 
6 17 17 
6 18 6 
6 19 22 
6 20 29 
6 21 5 
6 22 2 
6 23 20 
6 24 20 
6 25 3 
6 26 19 
6 27 11 
6 28 18 
6 29 21 
6 30 9 
6 31 15 
6 32 13 
6 33 22 
6 34 25 
6 35 2 
6 36 25 
6 37 28 
6 38 16 
6 39 27 
6 40 27 
6 41 22 
6 42 2 
6 43 29 
6 44 24 
6 45 11 
6 46 29 
6 47 26 
6 48 9 
6 49 28 
6 50 12 
6 51 5 
6 52 25 
6 53 14 
6 54 19 
6 55 1 
7 8 2 
7 9 25 
7 10 0 
7 11 28 
7 12 3 
7 13 29 
7 14 3 
7 15 19 
7 16 16 
7 17 7 
7 18 19 
7 19 19 
7 20 7 
7 21 6 
7 22 19 
7 23 13 
7 24 5 
7 25 27 
7 26 16 
7 27 26 
7 28 25 
7 29 8 
7 30 22 
7 31 5 
7 32 24 
7 33 24 
7 34 1 
7 35 26 
7 36 1 
7 37 26 
7 38 23 
7 39 23 
7 40 25 
7 41 15 
7 42 13 
7 43 12 
7 44 8 
7 45 2 
7 46 5 
7 47 23 
7 48 6 
7 49 1 
7 50 28 
7 51 6 
7 52 22 
7 53 1 
7 54 4 
7 55 6 
8 9 2 
8 10 19 
8 11 1 
8 12 15 
8 13 20 
8 14 13 
8 15 26 
8 16 14 
8 17 29 
8 18 12 
8 19 9 
8 20 3 
8 21 14 
8 22 24 
8 23 20 
8 24 5 
8 25 9 
8 26 16 
8 27 3 
8 28 4 
8 29 2 
8 30 8 
8 31 8 
8 32 7 
8 33 5 
8 34 18 
8 35 11 
8 36 2 
8 37 25 
8 38 17 
8 39 4 
8 40 14 
8 41 24 
8 42 24 
8 43 14 
8 44 12 
8 45 29 
8 46 13 
8 47 20 
8 48 17 
8 49 7 
8 50 18 
8 51 17 
8 52 13 
8 53 20 
8 54 23 
8 55 28 
9 10 2 
9 11 5 
9 12 12 
9 13 20 
9 14 23 
9 15 7 
9 16 2 
9 17 19 
9 18 17 
9 19 15 
9 20 13 
9 21 4 
9 22 13 
9 23 2 
9 24 11 
9 25 21 
9 26 13 
9 27 12 
9 28 15 
9 29 23 
9 30 15 
9 31 11 
9 32 2 
9 33 22 
9 34 2 
9 35 26 
9 36 14 
9 37 10 
9 38 17 
9 39 20 
9 40 3 
9 41 14 
9 42 20 
9 43 10 
9 44 25 
9 45 23 
9 46 1 
9 47 20 
9 48 26 
9 49 17 
9 50 25 
9 51 10 
9 52 20 
9 53 14 
9 54 25 
9 55 24 
10 11 29 
10 12 25 
10 13 26 
10 14 4 
10 15 8 
10 16 22 
10 17 1 
10 18 26 
10 19 28 
10 20 3 
10 21 1 
10 22 14 
10 23 28 
10 24 24 
10 25 29 
10 26 22 
10 27 10 
10 28 27 
10 29 10 
10 30 6 
10 31 10 
10 32 17 
10 33 10 
10 34 5 
10 35 6 
10 36 17 
10 37 13 
10 38 18 
10 39 24 
10 40 9 
10 41 22 
10 42 16 
10 43 15 
10 44 7 
10 45 27 
10 46 14 
10 47 15 
10 48 7 
10 49 19 
10 50 8 
10 51 13 
10 52 20 
10 53 2 
10 54 22 
10 55 3 
11 12 26 
11 13 17 
11 14 1 
11 15 25 
11 16 5 
11 17 4 
11 18 10 
11 19 22 
11 20 16 
11 21 20 
11 22 16 
11 23 1 
11 24 21 
11 25 21 
11 26 17 
11 27 3 
11 28 10 
11 29 0 
11 30 14 
11 31 8 
11 32 13 
11 33 20 
11 34 1 
11 35 2 
11 36 29 
11 37 0 
11 38 13 
11 39 28 
11 40 28 
11 41 25 
