 12 66 
 1 2 28 
1 3 28 
1 4 14 
1 5 21 
1 6 23 
1 7 10 
1 8 24 
1 9 1 
1 10 20 
1 11 12 
1 12 12 
2 3 2 
2 4 19 
2 5 23 
2 6 6 
2 7 6 
2 8 15 
2 9 20 
2 10 9 
2 11 12 
2 12 22 
3 4 16 
3 5 23 
3 6 10 
3 7 8 
3 8 23 
3 9 20 
3 10 8 
3 11 19 
3 12 12 
4 5 16 
4 6 16 
4 7 9 
4 8 16 
4 9 11 
4 10 25 
4 11 28 
4 12 16 
5 6 12 
5 7 17 
5 8 6 
5 9 14 
5 10 16 
5 11 25 
5 12 25 
6 7 2 
6 8 23 
6 9 6 
6 10 7 
6 11 3 
6 12 20 
7 8 11 
7 9 6 
7 10 19 
7 11 15 
7 12 13 
8 9 12 
8 10 22 
8 11 19 
8 12 26 
9 10 8 
9 11 4 
9 12 0 
10 11 11 
10 12 16 
11 12 23 
